No;Kecamatan;X1;X2;X3;X4;X5
1;Sukomanunggal;0.0189;0.0189;0.0949;0.1992;0.1992
2;Tandes;0.0205;0.0205;0.1025;0.2153;0.1948
3;Asemrowo;0.0219;0.0219;0.0877;0.1534;0.1534
4;Benowo;0.0182;0.0182;0.0728;0.2185;0.1275
5;Pakal;0.0207;0.0207;0.0827;0.2275;0.1654
6;Lakarsantri;0.0539;0.0539;0.1616;0.2334;0.1975
7;Sambikerep;0.0335;0.0335;0.1004;0.1506;0.1339
8;Genteng;0.0439;0.0293;0.1316;0.1609;0.1755
9;Tegalsari;0.0172;0.0172;0.0602;0.086;0.0688
10;Bubutan;0.0174;0.0174;0.0521;0.0781;0.0868
11;Simokerto;0.0187;0.0187;0.0749;0.1405;0.1405
12;"Pabean
Cantikan";0.0108;0.0108;0.0539;0.0972;0.0756
13;Semampir;0.0146;0.0146;0.0487;0.0584;0.0779
14;Krembangan;0.0386;0.0231;0.0849;0.162;0.1697
15;Bulak;0.0239;0.0239;0.0719;0.2156;0.1677
16;Kenjeran;0.0329;0.0263;0.0856;0.1579;0.1646
17;Tambaksari;0.0124;0.0124;0.0412;0.0618;0.0659
18;Gubeng;0.0195;0.0129;0.0519;0.0778;0.0778
19;Rungkut;0.0278;0.0185;0.0926;0.176;0.1667
20;"Trenggilis
Mejoyo";0.0174;0.0174;0.0522;0.1393;0.1045
21;Gunung Anyar;0.0187;0.0187;0.0933;0.2426;0.1493
22;Sukolilo;0.0269;0.0269;0.0989;0.1438;0.1348
23;Mulyorejo;0.0227;0.0227;0.0794;0.1021;0.1021
24;Sawahan;0.0174;0.0174;0.0826;0.1261;0.1173
25;Wonokromo;0.0156;0.0156;0.0677;0.1093;0.1248
26;Karangpilang;0.0129;0.0129;0.1036;0.1424;0.1036
27;Dukuh Pakis;0.0158;0.0158;0.0633;0.1267;0.0792
28;Wiyung;0.0291;0.0291;0.1308;0.23263;0.1889
29;Gayungan;0.0407;0.0204;0.0815;0.1834;0.1222
30;Wonocolo;0.0354;0.0354;0.1179;0.1651;0.1886
31;Jambangan;0.0201;0.0201;0.1209;0.141;0.1612
